"","pvalues.clust w/sig.=0.05","pvalues.clust w/sig.=0.10","pvalues.clust w/sig.=0.15","pvalues.clust w/sig.=0.25","pvalues.clust w/sig.=0.35","pvalues.clust w/sig.=0.50","pvalues.clust w/sig.=0.65","pvalues.clust w/sig.=0.75","pvalues.clust w/sig.=0.85","pvalues.clust w/sig.=0.95","pvalues.clust w/sig.=1.00"
"BMV",1,1,1,1,1,1,1,1,1,1,1
"ACCIPAT B0-B",1,1,1,1,1,1,1,1,1,6,144
"ACCIPAT C0-B",1,1,1,1,1,1,1,1,1,6,145
"ACTICRE B",1,1,1,1,1,1,1,1,1,1,167
"ACTICRE FF",1,1,1,1,1,1,1,1,1,5,109
"ACTINTK FF",1,1,1,1,1,1,1,1,1,6,146
"ACTIPAT B",1,1,1,1,1,1,1,1,1,1,2
"ACTIPAT FF",1,1,1,1,1,1,1,1,1,1,3
"ACTIVAR B",1,1,1,1,1,1,1,1,1,1,4
"ACTIVAR FF",1,1,1,1,1,1,1,1,1,1,30
"B+RV F",1,1,1,1,1,1,1,1,1,1,147
"B+RV GB",1,1,1,1,1,1,1,1,1,6,31
"B+RV NC",1,1,1,1,1,1,1,1,1,1,4
"B+RV P",1,1,1,1,1,1,1,1,1,1,37
"B+RV PV",1,1,1,1,1,1,1,1,1,1,38
"BMERCRE GB",1,1,1,1,1,1,1,1,1,6,39
"BMERCRE MB",1,1,1,1,1,1,1,1,1,1,110
"BMERCRE NC",1,1,1,1,1,1,1,1,1,6,40
"BMERIND F",1,1,1,1,1,1,1,1,1,1,14
"BMERIND GB",1,1,1,1,1,1,1,1,1,1,41
"BMERIND MB",1,1,1,1,1,1,1,1,1,1,4
"BMERIND P",1,1,1,1,1,1,1,1,1,1,5
"BMERIND PV",1,1,1,1,1,1,1,1,1,1,32
"BMERPAT B",1,1,1,1,1,1,1,1,1,1,6
"BMERPAT GB",1,1,1,1,1,1,1,1,1,3,42
"BMERPAT P",1,1,1,1,1,1,1,1,1,1,111
"BMERPAT PV",1,1,1,1,1,1,1,1,1,1,112
"BNMPAT B2-A",1,1,2,2,2,2,2,3,3,8,169
"BNMPAT B3-A",1,1,2,2,2,2,2,3,3,8,171
"BNMPAT C0-A",1,1,1,1,1,1,1,1,1,1,43
"BNMPAT C0-C",1,1,2,2,2,2,2,3,3,8,170
"BNMPAT M0-A",1,1,2,2,2,2,2,3,3,8,172
"CRECE+ B-1",1,1,1,1,1,1,1,1,2,2,44
"CRECE+ B-2",1,1,1,1,1,1,1,1,2,2,113
"CRECE+ B-E",1,1,1,1,1,1,1,1,2,2,45
"DIVER-A B",1,1,1,1,1,1,1,1,1,6,114
"DIVER-A GB",1,1,1,1,1,1,1,1,1,6,148
"DIVER-C GB",1,1,1,1,1,1,1,1,1,6,149
"DIVER-C MB",1,1,1,1,1,1,1,1,1,6,115
"DIVER-M B",1,1,1,1,1,1,1,1,1,6,116
"DIVER-M GB",1,1,1,1,1,1,1,1,1,6,117
"ELITE-C B1",1,1,1,1,1,1,1,1,1,6,46
"ELITE-M B1",1,1,1,1,1,1,1,1,1,6,118
"FONBNM B3-A",1,1,1,1,1,1,1,1,1,1,4
"FONBNM C0-A",1,1,1,1,1,1,1,1,1,1,47
"FONBNM C0-C",1,1,1,1,1,1,1,1,1,1,48
"FONBNM C0-D",1,1,1,1,1,1,1,1,1,1,49
"FONBNM C1-A",1,1,1,1,1,1,1,1,1,1,50
"FONBNM C3-A",1,1,1,1,1,1,1,1,1,1,7
"FONBNM M0-A",1,1,1,1,1,1,1,1,1,1,119
"FONDOM2 B",1,1,1,1,1,1,1,1,1,3,150
"FONIBUR B",1,1,1,1,1,1,1,1,1,6,120
"GBMAAA BO",1,1,1,1,1,1,1,1,1,1,4
"GBMAGR B",1,1,1,1,1,1,1,1,1,6,151
"GBMCRE BD",1,1,1,1,1,1,1,1,1,6,51
"GBMCRE BO",1,1,1,1,1,1,1,1,1,6,52
"GBMINF BO",1,1,1,1,1,1,1,1,1,1,53
"GBMIPC BO",1,1,1,1,1,1,1,1,1,1,4
"GBMMOD BO",1,1,1,1,1,1,1,1,1,6,152
"GBMPAGR B",1,1,1,1,1,1,1,1,1,1,121
"GBMPCON B",1,1,1,1,1,1,1,1,1,6,153
"GBMPMOD B",1,1,1,1,1,1,1,1,1,7,122
"GBMV1 BO",1,1,1,1,1,1,1,1,1,6,123
"GOLD3+ B1-C",1,1,1,1,1,1,1,1,1,6,54
"HSBC-F2 BFP",1,1,1,1,1,1,1,1,1,6,124
"HSBC-F2 BFV",1,1,1,1,1,1,1,1,1,6,125
"HSBC-F3 BFA",1,1,1,1,1,1,1,1,1,1,55
"HSBC-F3 BFP",1,1,1,1,1,1,1,1,1,1,56
"HSBC-F3 BFS",1,1,1,1,1,1,1,1,1,1,57
"HSBC-F3 BFV",1,1,1,1,1,1,1,1,1,1,126
"HSBC-RV BFA",1,1,1,1,1,1,1,1,1,1,58
"HSBC-RV BFP",1,1,1,1,1,1,1,1,1,1,59
"HSBC-RV BFS",1,1,1,1,1,1,1,1,1,1,60
"HSBC-RV BFV",1,1,1,1,1,1,1,1,1,1,61
"HSBC-RV BNF",1,1,1,1,1,1,1,1,1,3,62
"HSBCBOL BFA",1,1,1,1,1,1,1,1,1,1,4
"HSBCBOL BFP",1,1,1,1,1,1,1,1,1,1,8
"HSBCBOL BFS",1,1,1,1,1,1,1,1,1,1,9
"HSBCBOL BFV",1,1,1,1,1,1,1,1,1,1,4
"HSBCBOL BNF",1,1,1,1,1,1,1,1,1,1,10
"IBUPLUS B",1,1,1,1,1,1,1,1,1,6,63
"INBURSA B-3",1,1,1,1,1,1,1,1,1,6,127
"INTEC B",1,1,1,1,1,1,1,1,1,1,128
"INTERDV B",1,1,1,1,1,1,1,1,1,1,64
"INVEXMX BE",1,1,1,1,1,1,1,1,1,1,65
"INVEXMX BMF",1,1,1,1,1,1,1,1,1,1,66
"ISOLIDO B",1,1,1,1,1,1,1,1,1,1,11
"IXE1 BI",1,1,1,1,1,1,1,1,1,6,129
"IXE1 F2",1,1,1,1,1,1,1,1,1,6,67
"IXE1 F3",1,1,1,1,1,1,1,1,1,6,68
"IXE1 I2",1,1,1,1,1,1,1,1,1,6,69
"IXE1 I3",1,1,1,1,1,1,1,1,1,6,70
"IXE2 BI",1,1,1,1,1,1,1,1,1,1,154
"IXE2 F2",1,1,1,1,1,1,1,1,1,1,71
"IXE2 F3",1,1,1,1,1,1,1,1,1,1,72
"IXE2 I2",1,1,1,1,1,1,1,1,1,1,73
"IXE3 BI",1,1,1,1,1,1,1,1,1,1,130
"IXE3 F2",1,1,1,1,1,1,1,1,1,1,74
"IXE3 F3",1,1,1,1,1,1,1,1,1,1,75
"IXE3 I2",1,1,1,1,1,1,1,1,1,1,131
"IXE3 I3",1,1,1,1,1,1,1,1,1,1,76
"IXECON API-F",1,1,1,1,1,1,1,1,1,1,77
"IXECON BI",1,1,1,1,1,1,1,1,1,1,78
"IXECON BS",1,1,1,1,1,1,1,1,1,1,132
"IXECON F1",1,1,1,1,1,1,1,1,1,1,155
"IXECON F2",1,1,1,1,1,1,1,1,1,1,12
"IXEESP BF1",1,1,1,1,1,1,1,1,1,7,156
"IXEESP BF2",1,1,1,1,1,1,1,1,1,7,157
"IXEESP BI",1,1,1,1,1,1,1,1,1,7,158
"MAYA B1",1,1,1,1,1,1,1,1,1,1,79
"MAYA B2",1,1,1,1,1,1,1,1,1,1,80
"MAYA B3",1,1,1,1,1,1,1,1,1,1,81
"MAYA D",1,1,1,1,1,1,1,1,1,1,82
"MIFIPC B",1,1,1,1,1,1,1,1,1,1,13
"MONEXCR BEC-1",1,1,1,1,1,1,1,1,1,1,14
"MONEXCR BFC-1",1,1,1,1,1,1,1,1,1,1,15
"MONEXCR BFC-2",1,1,1,1,1,1,1,1,1,1,16
"MONEXCR BFC-3",1,1,1,1,1,1,1,1,1,1,17
"MONEXCR BFD",1,1,1,1,1,1,1,1,1,1,85
"MULTIPC B",1,1,1,1,1,1,1,1,1,1,1
"NAFINDX F1",1,1,1,1,1,1,1,1,1,1,33
"NTE+EMP I1",1,1,1,1,1,1,1,1,1,1,18
"NUMC B0-B",1,1,1,1,1,1,1,1,1,6,86
"NUMRV B0-A",1,1,1,1,1,1,1,1,1,6,134
"NUMRV B3-A",1,1,1,1,1,1,1,1,1,1,83
"NUMRV C0-A",1,1,1,1,1,1,1,1,1,6,161
"OM-RVMX B",1,1,1,1,1,1,1,1,1,1,19
"OM-RVMX E",1,1,1,1,1,1,1,1,1,1,87
"PRINLS2 FA",1,1,1,1,1,1,1,1,1,6,88
"PRINLS2 FB",1,1,1,1,1,1,1,1,1,6,162
"PRINLS2 FC",1,1,1,1,1,1,1,1,1,6,89
"PRINLS2 XC",1,1,1,1,1,1,1,1,1,6,90
"PRINLS3 FA",1,1,1,1,1,1,1,1,1,6,163
"PRINLS3 FB",1,1,1,1,1,1,1,1,1,6,91
"PRINLS3 FC",1,1,1,1,1,1,1,1,1,6,135
"PRINLS3 XC",1,1,1,1,1,1,1,1,1,6,92
"PRINRVA FA",1,1,1,1,1,1,1,1,1,1,93
"PRINRVA FB",1,1,1,1,1,1,1,1,1,1,94
"PRINRVA FC",1,1,1,1,1,1,1,1,1,1,4
"PRINRVA FF",1,1,1,1,1,1,1,1,1,1,136
"PRINRVA XB",1,1,1,1,1,1,1,1,1,1,108
"PRINRVA XC",1,1,1,1,1,1,1,1,1,1,143
"PROF-1A B",1,1,1,1,1,1,1,1,1,6,95
"PROF-3A B",1,1,1,1,1,1,1,1,1,6,96
"SBMIX B",1,1,1,1,1,1,1,1,1,6,164
"SCOT-RV L",1,1,1,1,1,1,1,1,1,1,20
"SCOTIPC L",1,1,1,1,1,1,1,1,1,1,21
"SCOTIPC TF",1,1,1,1,1,1,1,1,1,1,34
"SELECTC B1",1,1,1,1,1,1,1,1,1,6,165
"SELECTD B1",1,1,1,1,1,1,1,1,1,1,168
"STER-GR B",1,1,1,1,1,1,1,1,1,1,159
"STER-OP B1",1,1,1,1,1,1,1,1,1,1,137
"SURIPC BDF",1,1,1,1,1,1,1,1,1,1,22
"SURIPC BF",1,1,1,1,1,1,1,1,1,1,35
"SURIPC BOE2",1,1,1,1,1,1,1,1,1,1,23
"SURIPC BOE4",1,1,1,1,1,1,1,1,1,1,36
"SURPAT BDF",1,1,1,1,1,1,1,1,1,1,97
"SURPAT BOE1",1,1,1,1,1,1,1,1,1,1,98
"SURPAT BOE2",1,1,1,1,1,1,1,1,1,1,99
"SVIVE20 B",1,1,1,1,1,1,1,1,1,1,133
"SVIVE20 S",1,1,1,1,1,1,1,1,1,6,166
"SVIVE35 S",1,1,1,1,1,1,1,1,1,1,100
"SVIVE50 S",1,1,1,1,1,1,1,1,1,6,101
"VALMX20 B0",1,1,1,1,1,1,1,1,1,1,102
"VALMX20 B1",1,1,1,1,1,1,1,1,1,1,24
"VALMX20 B2",1,1,1,1,1,1,1,1,1,1,4
"VALMX24 B0",1,1,1,1,1,1,1,1,1,1,25
"VALMX24 B1",1,1,1,1,1,1,1,1,1,1,26
"VALMXA B0",1,1,1,1,1,1,1,1,1,6,160
"VALMXA B1",1,1,1,1,1,1,1,1,1,3,138
"VALMXA B2",1,1,1,1,1,1,1,1,1,3,139
"VALMXB B0",1,1,1,1,1,1,1,1,1,3,103
"VALMXB B1",1,1,1,1,1,1,1,1,1,6,104
"VALMXB B2",1,1,1,1,1,1,1,1,1,6,140
